log,rvpnot,tlcv,mvo,as,sam,eav,et,enve,metric,method
BPIC13cp,-0.06875508278363492,0.11399937255618316,0.6479952919744891,0.05586034386662245,-3.59966823917449,2.631109570288135,0.07873012834926577,0.11496802545649935,fitness,sm1
BPIC13inc,-0.2957246261525631,0.21251276284550316,0.6538214823678135,-0.05451396245519167,-3.3976834662735156,2.1476471014582312,0.5995749901453358,0.16169009220971778,fitness,sm1
BPIC13op,-0.09471256082299846,0.12410306654072267,0.649006003490922,0.0643173107820364,-3.593943250040006,2.6305571108960573,0.11487642354696365,0.10588359872780667,fitness,sm1
BPIC16c_p,-0.9977109102097312,-0.004208220026460891,0.6588839129522236,0.06901480086337092,-3.604140886935805,2.631108787543886,0.43025813369296056,0.8426865428947801,fitness,sm1
BPIC16wm_p,0.2856912768211664,0.3166871597617142,0.016592733112184826,0.0690655099191474,-0.6251785719897354,2.631109570288136,-0.1322289512256032,-2.5294496037818672,fitness,sm1
BPIC17ol,0.2930944197339769,-0.22227578354659983,-4.344647827277294,-0.06001708384287653,4.087560921152379,0.09279609010602771,-0.3476270495089619,0.5202117035575329,fitness,sm1
BPIC20a,0.26638525077044906,-0.1346009414100001,0.465485834237757,0.03204412524317371,-2.665242668880616,2.1626546702601446,-0.26011496639874565,0.08156898837921256,fitness,sm1
BPIC20d,0.010372555299987776,-0.14453971145313735,0.643773529023615,0.06236110958055115,-3.5628136216212547,2.6182626354180374,0.17512024887646033,0.18395719350371967,fitness,sm1
BPIC20e,0.25607427431880114,-0.1357104232256137,0.5189515770705593,0.04611750179969555,-2.9885256490684418,2.5112448331359394,-0.2415133641917431,0.1087886228667885,fitness,sm1
RTFMP,0.28966134049396364,-0.040704794560052215,-0.5499629894693786,-0.34865465670276247,23.297583055999198,-22.68586360447086,-0.2861149331198962,0.35478544661205613,fitness,sm1
RWABOCSL,0.05562406253058105,-0.08526248748225991,0.6401004525171116,0.06440500094623237,-3.347947623167695,2.629373235076266,-0.13096066016603514,0.05490938957375445,fitness,sm1
BPIC13cp,-0.017525235443826448,0.04691414916905326,0.17881747761758374,-0.021616236883560458,-1.0234948994513076,0.775839847826663,0.015203035058428259,0.031022323030752585,fitness,imf
BPIC13inc,-0.07537833553586633,0.08745535377002253,0.18042524341952237,0.021095228642103746,-0.966064500010278,0.6332804301260082,0.11577981373151608,0.04362954179203459,fitness,imf
BPIC13op,-0.02414163230861263,0.05107212123609746,0.1790963884155571,-0.024888823257115777,-1.021867111336061,0.7756769431663925,0.022182998188744026,0.02857103260102051,fitness,imf
BPIC16c_p,-0.2543101964013826,-0.0017318083216666495,0.18182224595785906,-0.026706607597984693,-1.024766608916343,0.7758396170175069,0.08308419696319479,0.22738578003360943,fitness,imf
BPIC16wm_p,0.07282089829335436,0.1303262318015191,0.004578846048189381,-0.026726230444640037,-0.1777572368237155,0.7758398478266629,-0.025533825783999257,-0.6825324031351717,fitness,imf
BPIC17ol,0.07470791256660571,-0.0914731285984414,-1.1989268675751845,0.02322476754718506,1.162217592295497,0.027362944226942923,-0.06712787508102698,0.1403709896561292,fitness,imf
BPIC20a,0.06789991444277578,-0.0553923105190044,0.12845309800243004,-0.012400091980042474,-0.7578093580159697,0.6377057379987819,-0.05022901697605198,0.022010115392901833,fitness,imf
BPIC20d,0.002643898697037586,-0.05948241145469889,0.17765246143409477,-0.02413183349235219,-1.0130160134594097,0.7720516498332344,0.03381627007260361,0.04963797071440826,fitness,imf
BPIC20e,0.06527171180444075,-0.05584889544777126,0.14320723185297146,-0.01784605633220795,-0.8497285181487777,0.7404951246413956,-0.04663698916629897,0.029354907916733633,fitness,imf
RTFMP,0.07383284239662403,-0.016751239599540904,-0.1517649831378893,0.1349186404551765,6.624209744625446,-6.689419994311238,-0.0552496922101388,0.09573330226127483,fitness,imf
RWABOCSL,0.014178221488849493,-0.03508806203556886,0.17663885796486628,-0.02492275665656179,-0.9519230907590772,0.7753278516476498,-0.025288914796970617,0.014816439736307155,fitness,imf
BPIC13cp,-0.05142533333569347,0.373273007536583,0.36310607509576853,0.29435654373369075,-2.6756600237188315,1.7783177657712523,0.059640072071391874,0.10860770680762503,precision,ilp
BPIC13inc,-0.22118710151693272,0.6958396028728628,0.36637079808478035,-0.2872617757572811,-2.5255232482322643,1.451554522190445,0.45419328501330347,0.15274499199827857,precision,ilp
BPIC13op,-0.07084021739494095,0.40635596366408355,0.36367243027817664,0.3389206007977733,-2.6714045969557034,1.7779443687972536,0.08702180884617568,0.10002585328141586,precision,ilp
BPIC16c_p,-0.7462374278808396,-0.013779154309630297,0.36920754600982897,0.36367406360971716,-2.678984575877524,1.7783172367290492,0.32593146538405365,0.7960670161816151,precision,ilp
BPIC16wm_p,0.2136826623838404,1.0369422736446678,0.009297786990270672,0.3639412753982803,-0.4646998561017873,1.778317765771252,-0.10016678933933351,-2.389514126744309,precision,ilp
BPIC17ol,0.21921983980563292,-0.7278070779389577,-2.4345362378005135,-0.31626051939720135,3.0383142624696147,0.0627191423318749,-0.2633363201785412,0.49143229131346033,precision,ilp
BPIC20a,0.19924272885674355,-0.4407296030739541,0.26083636158487006,0.16885678283814035,-1.981094586724736,1.4616978573532453,-0.19704369430274907,0.0770563879766387,precision,ilp
